"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00009 0.7875 0.8645
0.00019 0.7888 0.8645
0.00028 0.7888 0.8645
0.00038 0.7875 0.8645
0.00047 0.7875 0.8645
0.00057 0.7881 0.8651
0.00066 0.7875 0.8639
0.00076 0.7875 0.8651
0.00085 0.7888 0.8645
0.00094 0.7875 0.8645
0.00104 0.7888 0.8645
0.00113 0.7875 0.8651
0.00123 0.7888 0.8639
0.00132 0.7875 0.8651
0.00142 0.7875 0.8645
0.00151 0.7881 0.8645
0.00161 0.7888 0.8645
0.00170 0.7888 0.8645
0.00179 0.7862 0.8645
0.00189 0.7888 0.8645
0.00198 0.7888 0.8651
0.00208 0.7875 0.8639
0.00217 0.7875 0.8645
0.00227 0.7888 0.8651
0.00236 0.7881 0.8639
0.00246 0.7875 0.8651
0.00255 0.7875 0.8639
0.00264 0.7875 0.8651
0.00274 0.7888 0.8651
0.00283 0.7888 0.8639
0.00293 0.7875 0.8639
0.00302 0.7888 0.8651
0.00312 0.7875 0.8639
0.00321 0.7875 0.8657
0.00331 0.7881 0.8639
0.00340 0.7875 0.8651
0.00349 0.7888 0.8645
0.00359 0.7875 0.8645
0.00368 0.7888 0.8645
0.00378 0.7875 0.8645
0.00387 0.7888 0.8651
0.00397 0.7875 0.8639
0.00406 0.7888 0.8645
0.00416 0.7875 0.8645
0.00425 0.7875 0.8651
0.00435 0.7881 0.8645
0.00444 0.7875 0.8645
0.00453 0.7888 0.8639
0.00463 0.7875 0.8657
0.00472 0.7875 0.8639
0.00482 0.7888 0.8645
0.00491 0.7888 0.8651
0.00501 0.7875 0.8645
0.00510 0.7875 0.8639
0.00520 0.7881 0.8651
0.00529 0.7888 0.8645
0.00538 0.7875 0.8645
0.00548 0.7875 0.8645
0.00557 0.7888 0.8645
0.00567 0.7875 0.8645
0.00576 0.7875 0.8645
0.00586 0.7888 0.8645
0.00595 0.7888 0.8645
0.00605 0.7875 0.8651
0.00614 0.7881 0.8645
0.00623 0.7875 0.8639
0.00633 0.7875 0.8651
0.00642 0.7888 0.8651
0.00652 0.7875 0.8639
0.00661 0.7888 0.8639
0.00671 0.7875 0.8658
0.00680 0.7888 0.8645
0.00690 0.7875 0.8645
0.00699 0.7875 0.8639
0.00708 0.7881 0.8651
0.00718 0.7888 0.8639
0.00727 0.7875 0.8651
0.00737 0.7888 0.8645
0.00746 0.7875 0.8645
0.00756 0.7875 0.8651
0.00765 0.7888 0.8639
0.00775 0.7875 0.8645
0.00784 0.7875 0.8645
0.00793 0.7888 0.8651
0.00803 0.7875 0.8639
0.00812 0.7881 0.8645
0.00822 0.7875 0.8651
0.00831 0.7888 0.8645
0.00841 0.7888 0.8639
0.00850 0.7875 0.8657
0.00860 0.7875 0.8639
0.00869 0.7888 0.8651
0.00878 0.7875 0.8639
0.00888 0.7875 0.8651
0.00897 0.7881 0.8639
0.00907 0.7875 0.8651
0.00916 0.7888 0.8645
0.00926 0.7875 0.8645
0.00935 0.7888 0.8651
0.00945 0.7888 0.8639
0.00954 0.7875 0.8645
0.00963 0.7875 0.8639
0.00973 0.7888 0.8657
0.00982 0.7881 0.8639
0.00992 0.7869 0.8645
0.01001 0.7881 0.8651
0.01011 0.7888 0.8639
0.01020 0.7875 0.8645
0.01030 0.7875 0.8658
0.01039 0.7888 0.8639
0.01048 0.7888 0.8651
0.01058 0.7875 0.8645
0.01067 0.7875 0.8645
0.01077 0.7881 0.8645
0.01086 0.7875 0.8639
0.01096 0.7875 0.8651
0.01105 0.7888 0.8639
0.01115 0.7888 0.8658
0.01124 0.7875 0.8639
0.01134 0.7875 0.8645
0.01143 0.7888 0.8651
0.01152 0.7875 0.8639
0.01162 0.7888 0.8645
0.01171 0.7875 0.8645
0.01181 0.7881 0.8651
0.01190 0.7875 0.8639
0.01200 0.7888 0.8645
0.01209 0.7875 0.8645
0.01219 0.7875 0.8651
0.01228 0.7888 0.8645
0.01237 0.7875 0.8651
0.01247 0.7888 0.8639
0.01256 0.7875 0.8645
0.01266 0.7881 0.8645
0.01275 0.7875 0.8651
0.01285 0.7888 0.8639
0.01294 0.7875 0.8651
0.01304 0.7875 0.8645
0.01313 0.7888 0.8645
0.01322 0.7875 0.8645
0.01332 0.7888 0.8645
0.01341 0.7875 0.8645
0.01351 0.7888 0.8645
0.01360 0.7875 0.8651
0.01370 0.7881 0.8645
0.01379 0.7875 0.8645
0.01389 0.7888 0.8639
0.01398 0.7875 0.8645
0.01407 0.7888 0.8645
0.01417 0.7875 0.8658
0.01426 0.7888 0.8639
0.01436 0.7875 0.8651
0.01445 0.7875 0.8645
0.01455 0.7881 0.8645
0.01464 0.7888 0.8639
0.01474 0.7875 0.8651
0.01483 0.7875 0.8645
0.01492 0.7888 0.8639
0.01502 0.7875 0.8645
0.01511 0.7888 0.8651
0.01521 0.7875 0.8645
0.01530 0.7875 0.8645
0.01540 0.7888 0.8645
0.01549 0.7875 0.8645
0.01559 0.7875 0.8645
0.01568 0.7881 0.8645
0.01577 0.7888 0.8645
0.01587 0.7875 0.8645
0.01596 0.7888 0.8651
0.01606 0.7875 0.8645
0.01615 0.7888 0.8645
0.01625 0.7875 0.8651
0.01634 0.7875 0.8639
0.01644 0.7881 0.8645
0.01653 0.7875 0.8651
0.01662 0.7888 0.8645
0.01672 0.7875 0.8639
0.01681 0.7888 0.8651
0.01691 0.7888 0.8645
0.01700 0.7862 0.8645
0.01710 0.7888 0.8651
0.01719 0.7888 0.8639
0.01729 0.7875 0.8645
0.01738 0.7875 0.8651
0.01747 0.7881 0.8645
0.01757 0.7888 0.8639
0.01766 0.7875 0.8645
0.01776 0.7875 0.8651
0.01785 0.7888 0.8645
0.01795 0.7875 0.8645
0.01804 0.7888 0.8651
0.01814 0.7875 0.8639
0.01823 0.7881 0.8651
0.01833 0.7875 0.8645
0.01842 0.7888 0.8645
0.01851 0.7875 0.8645
0.01861 0.7875 0.8639
0.01870 0.7888 0.8651
0.01880 0.7875 0.8645
0.01889 0.7888 0.8645
0.01899 0.7875 0.8645
0.01908 0.7888 0.8645
0.01918 0.7875 0.8651
0.01927 0.7881 0.8639
0.01936 0.7875 0.8645
0.01946 0.7875 0.8645
0.01955 0.7888 0.8651
0.01965 0.7875 0.8639
0.01974 0.7875 0.8651
0.01984 0.7888 0.8645
0.01993 0.7888 0.8645
0.02003 0.7881 0.8645
0.02012 0.7875 0.8651
0.02021 0.7875 0.8639
0.02031 0.7888 0.8651
0.02040 0.7875 0.8638
0.02050 0.7875 0.8651
0.02059 0.7888 0.8645
0.02069 0.7875 0.8645
0.02078 0.7888 0.8645
0.02088 0.7875 0.8645
0.02097 0.7888 0.8645
0.02106 0.7875 0.8645
0.02116 0.7875 0.8645
0.02125 0.7881 0.8651
0.02135 0.7888 0.8645
0.02144 0.7875 0.8645
0.02154 0.7875 0.8645
0.02163 0.7888 0.8645
0.02173 0.7888 0.8645
0.02182 0.7862 0.8645
0.02191 0.7888 0.8651
0.02201 0.7881 0.8639
0.02210 0.7888 0.8651
0.02220 0.7875 0.8645
0.02229 0.7875 0.8645
0.02239 0.7888 0.8639
0.02248 0.7875 0.8651
0.02258 0.7875 0.8645
0.02267 0.7888 0.8639
0.02276 0.7875 0.8658
0.02286 0.7888 0.8639
0.02295 0.7875 0.8645
0.02305 0.7875 0.8651
0.02314 0.7881 0.8639
0.02324 0.7888 0.8651
0.02333 0.7875 0.8639
0.02343 0.7888 0.8651
0.02352 0.7875 0.8639
0.02361 0.7888 0.8651
0.02371 0.7875 0.8645
0.02380 0.7875 0.8645
0.02390 0.7881 0.8651
0.02399 0.7875 0.8645
0.02409 0.7875 0.8639
0.02418 0.7888 0.8651
0.02428 0.7888 0.8645
0.02437 0.7875 0.8645
0.02446 0.7875 0.8645
0.02456 0.7888 0.8645
0.02465 0.7875 0.8645
0.02475 0.7888 0.8645
0.02484 0.7875 0.8651
0.02494 0.7881 0.8638
0.02503 0.7875 0.8651
0.02513 0.7875 0.8639
0.02522 0.7888 0.8651
0.02531 0.7888 0.8645
0.02541 0.7875 0.8645
0.02550 0.7888 0.8645
0.02560 0.7875 0.8645
0.02569 0.7881 0.8651
0.02579 0.7875 0.8645
0.02588 0.7875 0.8639
0.02598 0.7888 0.8651
0.02607 0.7875 0.8645
0.02617 0.7888 0.8645
0.02626 0.7875 0.8651
0.02635 0.7875 0.8639
0.02645 0.7888 0.8645
0.02654 0.7888 0.8639
0.02664 0.7875 0.8651
0.02673 0.7881 0.8645
0.02683 0.7875 0.8651
0.02692 0.7875 0.8639
0.02702 0.7888 0.8645
0.02711 0.7875 0.8651
0.02720 0.7875 0.8639
0.02730 0.7888 0.8651
0.02739 0.7875 0.8639
0.02749 0.7888 0.8657
0.02758 0.7875 0.8645
0.02768 0.7881 0.8639
0.02777 0.7875 0.8645
0.02787 0.7888 0.8651
0.02796 0.7875 0.8638
0.02805 0.7888 0.8658
0.02815 0.7875 0.8639
0.02824 0.7875 0.8651
0.02834 0.7888 0.8639
0.02843 0.7888 0.8645
0.02853 0.7875 0.8645
0.02862 0.7875 0.8645
0.02872 0.7881 0.8651
0.02881 0.7888 0.8639
0.02890 0.7875 0.8658
0.02900 0.7875 0.8638
0.02909 0.7888 0.8645
0.02919 0.7875 0.8639
0.02928 0.7875 0.8658
0.02938 0.7888 0.8639
0.02947 0.7881 0.8645
0.02957 0.7875 0.8645
0.02966 0.7888 0.8651
0.02975 0.7875 0.8639
0.02985 0.7875 0.8651
0.02994 0.7888 0.8645
0.03004 0.7875 0.8645
0.03013 0.7888 0.8645
0.03023 0.7875 0.8645
0.03032 0.7888 0.8645
0.03042 0.7875 0.8645
0.03051 0.7875 0.8651
0.03060 0.7881 0.8639
0.03070 0.7888 0.8658
0.03079 0.7875 0.8639
0.03089 0.7888 0.8639
0.03098 0.7875 0.8657
0.03108 0.7875 0.8645
0.03117 0.7888 0.8639
0.03127 0.7875 0.8651
0.03136 0.7875 0.8645
0.03145 0.7881 0.8645
0.03155 0.7875 0.8639
