"number" "dsum" "count" "missing" "quant_error" "fname"
0 4.67762e+07 169386 281522 0.225869 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp1_futureM.tif"
1 8.87293e+07 169386 281522 0.00831761 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp2_futureM.tif"
2 4.13531e+07 169386 281522 0.110818 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp3_futureM.tif"
3 5.67009e+07 169386 281522 0.112050 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp4_futureM.tif"
4 3.86333e+07 169386 281522 0.127205 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp5_futureM.tif"
5 3.74677e+07 169386 281522 0.198511 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp6_futureM.tif"
6 4.6153e+07 169386 281522 0.29725 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp7_futureM.tif"
7 6.70851e+07 169386 281522 0.0360331 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp8_futureM.tif"
8 3.79003e+07 169386 281522 0.0200255 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp9_futureM.tif"
