"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00009 0.7806 0.8583
0.00019 0.7787 0.8583
0.00028 0.7793 0.8583
0.00038 0.7806 0.8589
0.00047 0.7787 0.8583
0.00057 0.7793 0.8589
0.00066 0.7806 0.8576
0.00076 0.7800 0.8589
0.00085 0.7793 0.8576
0.00094 0.7793 0.8583
0.00104 0.7800 0.8583
0.00113 0.7793 0.8589
0.00123 0.7806 0.8583
0.00132 0.7793 0.8583
0.00142 0.7787 0.8583
0.00151 0.7806 0.8589
0.00160 0.7793 0.8583
0.00170 0.7787 0.8583
0.00179 0.7806 0.8583
0.00189 0.7806 0.8583
0.00198 0.7787 0.8583
0.00208 0.7793 0.8576
0.00217 0.7806 0.8589
0.00227 0.7787 0.8583
0.00236 0.7806 0.8589
0.00245 0.7793 0.8583
0.00255 0.7793 0.8583
0.00264 0.7800 0.8583
0.00274 0.7793 0.8583
0.00283 0.7800 0.8583
0.00293 0.7793 0.8589
0.00302 0.7793 0.8583
0.00311 0.7806 0.8583
0.00321 0.7787 0.8583
0.00330 0.7806 0.8583
0.00340 0.7793 0.8589
0.00349 0.7800 0.8576
0.00359 0.7793 0.8589
0.00368 0.7806 0.8576
0.00378 0.7787 0.8583
0.00387 0.7793 0.8589
0.00396 0.7806 0.8583
0.00406 0.7787 0.8583
0.00415 0.7806 0.8589
0.00425 0.7793 0.8583
0.00434 0.7800 0.8583
0.00444 0.7793 0.8583
0.00453 0.7793 0.8583
0.00462 0.7800 0.8583
0.00472 0.7793 0.8589
0.00481 0.7793 0.8576
0.00491 0.7806 0.8589
0.00500 0.7787 0.8583
0.00510 0.7806 0.8583
0.00519 0.7793 0.8583
0.00529 0.7800 0.8583
0.00538 0.7793 0.8583
0.00547 0.7793 0.8583
0.00557 0.7800 0.8583
0.00566 0.7793 0.8583
0.00576 0.7806 0.8589
0.00585 0.7787 0.8589
0.00595 0.7806 0.8583
0.00604 0.7793 0.8583
0.00613 0.7800 0.8576
0.00623 0.7793 0.8589
0.00632 0.7793 0.8576
0.00642 0.7800 0.8583
0.00651 0.7793 0.8589
0.00661 0.7793 0.8583
0.00670 0.7806 0.8583
0.00680 0.7800 0.8589
0.00689 0.7781 0.8583
0.00698 0.7806 0.8583
0.00708 0.7800 0.8583
0.00717 0.7793 0.8583
0.00727 0.7793 0.8583
0.00736 0.7800 0.8583
0.00746 0.7793 0.8583
0.00755 0.7806 0.8589
0.00764 0.7787 0.8589
0.00774 0.7806 0.8576
0.00783 0.7793 0.8583
0.00793 0.7800 0.8583
0.00802 0.7793 0.8583
0.00812 0.7793 0.8583
0.00821 0.7800 0.8583
0.00831 0.7806 0.8589
0.00840 0.7781 0.8583
0.00849 0.7806 0.8583
0.00859 0.7800 0.8589
0.00868 0.7781 0.8583
0.00878 0.7806 0.8576
0.00887 0.7800 0.8589
0.00897 0.7793 0.8576
0.00906 0.7793 0.8589
0.00915 0.7800 0.8576
0.00925 0.7793 0.8583
0.00934 0.7806 0.8589
0.00944 0.7787 0.8589
0.00953 0.7793 0.8576
0.00963 0.7806 0.8589
0.00972 0.7800 0.8583
0.00982 0.7793 0.8583
0.00991 0.7793 0.8583
0.01000 0.7800 0.8589
0.01010 0.7793 0.8583
0.01019 0.7793 0.8583
0.01029 0.7806 0.8589
0.01038 0.7800 0.8576
0.01048 0.7793 0.8583
0.01057 0.7793 0.8583
0.01066 0.7800 0.8583
0.01076 0.7793 0.8583
0.01085 0.7793 0.8583
