"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.01991 0.6833 0.8046
0.02001 0.6783 0.8052
0.02010 0.6802 0.8040
0.02020 0.6783 0.8059
0.02029 0.6795 0.8040
0.02039 0.6789 0.8052
0.02048 0.6795 0.8046
0.02057 0.6789 0.8052
0.02067 0.6795 0.8052
0.02076 0.6783 0.8059
0.02086 0.6802 0.8040
0.02095 0.6827 0.8052
0.02105 0.6789 0.8059
0.02114 0.6884 0.8052
0.02124 0.6795 0.8052
0.02133 0.6802 0.8052
0.02142 0.6795 0.8065
0.02152 0.6827 0.8052
0.02161 0.6833 0.8065
0.02171 0.6808 0.8052
0.02180 0.6814 0.8052
0.02190 0.6802 0.8065
0.02199 0.6802 0.8065
0.02208 0.6808 0.8065
0.02218 0.6802 0.8040
0.02227 0.6802 0.8065
0.02237 0.6808 0.8077
0.02246 0.6802 0.8040
0.02256 0.6814 0.8065
0.02265 0.6795 0.8065
0.02275 0.6802 0.8065
0.02284 0.6814 0.8052
0.02293 0.6802 0.8052
0.02303 0.6808 0.8065
0.02312 0.6802 0.8071
0.02322 0.6852 0.8065
0.02331 0.6802 0.8046
0.02341 0.6814 0.8071
0.02350 0.6802 0.8065
0.02359 0.6814 0.8052
0.02369 0.6821 0.8065
0.02378 0.6814 0.8071
0.02388 0.6814 0.8065
0.02397 0.6814 0.8065
0.02407 0.6814 0.8052
0.02416 0.6814 0.8071
0.02426 0.6814 0.8078
0.02435 0.6827 0.8071
0.02444 0.6802 0.8065
0.02454 0.6821 0.8065
0.02463 0.6814 0.8071
0.02473 0.6814 0.8065
0.02482 0.6814 0.8052
0.02492 0.6814 0.8065
0.02501 0.6814 0.8071
0.02510 0.6827 0.8065
0.02520 0.6802 0.8078
0.02529 0.6814 0.8059
0.02539 0.6827 0.8065
0.02548 0.6808 0.8065
0.02558 0.6827 0.8071
0.02567 0.6814 0.8065
0.02577 0.6827 0.8065
0.02586 0.6833 0.8065
0.02595 0.6840 0.8071
0.02605 0.6915 0.8078
0.02614 0.6814 0.8071
0.02624 0.6859 0.8071
0.02633 0.6814 0.8078
0.02643 0.6821 0.8071
0.02652 0.6833 0.8052
0.02661 0.6814 0.8084
0.02671 0.6814 0.8078
0.02680 0.6827 0.8084
0.02690 0.6814 0.8065
0.02699 0.6840 0.8059
0.02709 0.6859 0.8078
0.02718 0.6827 0.8090
0.02728 0.6840 0.8065
0.02737 0.6858 0.8077
0.02746 0.6840 0.8071
0.02756 0.6827 0.8084
0.02765 0.6833 0.8084
0.02775 0.6840 0.8084
0.02784 0.6827 0.8071
0.02794 0.6840 0.8065
0.02803 0.6821 0.8096
0.02812 0.6827 0.8084
0.02822 0.6840 0.8071
0.02831 0.6827 0.8065
0.02841 0.6827 0.8096
0.02850 0.6846 0.8059
0.02860 0.6998 0.8084
0.02869 0.6833 0.8084
0.02879 0.6852 0.8084
0.02888 0.6840 0.8084
0.02897 0.6846 0.8096
0.02907 0.6840 0.8065
0.02916 0.6833 0.8084
0.02926 0.6852 0.8090
0.02935 0.6827 0.8078
0.02945 0.6846 0.8071
0.02954 0.6840 0.8084
0.02963 0.6833 0.8096
0.02973 0.6852 0.8071
0.02982 0.6840 0.8078
0.02992 0.6821 0.8084
0.03001 0.6865 0.8084
0.03011 0.6833 0.8071
0.03020 0.6852 0.8096
0.03030 0.6833 0.8071
0.03039 0.6827 0.8084
0.03048 0.6852 0.8071
0.03058 0.6833 0.8096
0.03067 0.6840 0.8071
0.03077 0.6852 0.8096
0.03086 0.6821 0.8071
0.03096 0.6865 0.8084
0.03105 0.6833 0.8096
0.03114 0.6840 0.8065
0.03124 0.6846 0.8090
0.03133 0.6840 0.8084
0.03143 0.6852 0.8097
0.03152 0.6858 0.8071
0.03162 0.6846 0.8084
0.03171 0.6840 0.8084
0.03181 0.6884 0.8097
0.03190 0.6858 0.8084
0.03199 0.6846 0.8084
0.03209 0.6852 0.8097
0.03218 0.6846 0.8084
0.03228 0.6859 0.8090
0.03237 0.6840 0.8096
0.03247 0.6859 0.8071
0.03256 0.6852 0.8084
0.03265 0.6846 0.8097
0.03275 0.6852 0.8090
0.03284 0.6846 0.8077
0.03294 0.6859 0.8084
0.03303 0.6852 0.8090
0.03313 0.6846 0.8109
0.03322 0.6858 0.8071
0.03332 0.6852 0.8084
0.03341 0.6846 0.8096
0.03350 0.6865 0.8090
0.03360 0.6833 0.8084
0.03369 0.6858 0.8084
0.03379 0.6852 0.8084
0.03388 0.6846 0.8096
0.03398 0.6865 0.8084
0.03407 0.6846 0.8084
0.03417 0.6897 0.8090
0.03426 0.6903 0.8096
0.03435 0.6840 0.8097
0.03445 0.6871 0.8071
0.03454 0.6846 0.8096
0.03464 0.6846 0.8090
0.03473 0.6865 0.8084
0.03483 0.6846 0.8084
0.03492 0.6852 0.8096
0.03501 0.6871 0.8090
0.03511 0.6846 0.8084
0.03520 0.6871 0.8097
0.03530 0.6896 0.8096
0.03539 0.6871 0.8090
0.03549 0.6859 0.8084
0.03558 0.6947 0.8096
0.03568 0.6859 0.8090
0.03577 0.6840 0.8096
0.03586 0.6859 0.8084
0.03596 0.6915 0.8084
0.03605 0.6884 0.8103
0.03615 0.6852 0.8096
0.03624 0.6846 0.8103
0.03634 0.6871 0.8071
0.03643 0.6852 0.8109
0.03652 0.6846 0.8103
0.03662 0.6871 0.8090
0.03671 0.6846 0.8084
0.03681 0.6865 0.8096
0.03690 0.6859 0.8097
0.03700 0.6846 0.8090
0.03709 0.6865 0.8096
0.03719 0.6846 0.8090
0.03728 0.6858 0.8096
0.03737 0.6871 0.8097
0.03747 0.6852 0.8103
0.03756 0.6846 0.8084
0.03766 0.6858 0.8090
0.03775 0.6865 0.8097
0.03785 0.6858 0.8096
0.03794 0.6858 0.8090
0.03803 0.6846 0.8097
0.03813 0.6865 0.8090
0.03822 0.6846 0.8097
0.03832 0.6858 0.8096
0.03841 0.6865 0.8084
0.03851 0.6858 0.8090
0.03860 0.6859 0.8116
0.03870 0.6858 0.8096
0.03879 0.6852 0.8071
0.03888 0.6859 0.8103
0.03898 0.6858 0.8096
0.03907 0.6852 0.8103
0.03917 0.6858 0.8071
0.03926 0.6846 0.8097
0.03936 0.6858 0.8115
0.03945 0.6865 0.8090
0.03954 0.6858 0.8077
0.03964 0.6858 0.8115
0.03973 0.6852 0.8090
0.03983 0.6858 0.8084
0.03992 0.6859 0.8097
0.04002 0.6846 0.8090
0.04011 0.6865 0.8097
0.04021 0.6858 0.8096
0.04030 0.6846 0.8090
0.04039 0.6865 0.8096
0.04049 0.6858 0.8103
0.04058 0.6846 0.8084
0.04068 0.6871 0.8096
0.04077 0.6852 0.8103
0.04087 0.6858 0.8084
0.04096 0.6859 0.8090
0.04105 0.6852 0.8096
0.04115 0.6859 0.8097
0.04124 0.6858 0.8103
0.04134 0.6846 0.8084
0.04143 0.6865 0.8090
0.04153 0.6858 0.8109
0.04162 0.6846 0.8071
0.04172 0.6865 0.8103
0.04181 0.6859 0.8097
0.04190 0.6858 0.8090
0.04200 0.6859 0.8109
0.04209 0.6852 0.8084
0.04219 0.6846 0.8090
0.04228 0.6871 0.8103
0.04238 0.6852 0.8096
0.04247 0.6871 0.8084
0.04256 0.6846 0.8096
0.04266 0.6846 0.8090
0.04275 0.6871 0.8103
0.04285 0.6852 0.8084
0.04294 0.6846 0.8096
0.04304 0.6871 0.8096
0.04313 0.6852 0.8103
0.04323 0.6846 0.8090
0.04332 0.6871 0.8097
0.04341 0.6852 0.8084
0.04351 0.6871 0.8103
0.04360 0.6846 0.8096
0.04370 0.6852 0.8071
0.04379 0.6858 0.8103
0.04389 0.6846 0.8096
0.04398 0.6859 0.8103
0.04407 0.6871 0.8084
0.04417 0.6852 0.8097
0.04426 0.6846 0.8090
0.04436 0.6871 0.8109
0.04445 0.6852 0.8084
0.04455 0.6859 0.8090
0.04464 0.6846 0.8103
0.04474 0.6865 0.8096
0.04483 0.6859 0.8084
0.04492 0.6858 0.8096
0.04502 0.6852 0.8103
0.04511 0.6858 0.8084
0.04521 0.6846 0.8090
0.04530 0.6858 0.8109
0.04540 0.6871 0.8090
0.04549 0.6852 0.8084
0.04558 0.6858 0.8096
0.04568 0.6859 0.8103
0.04577 0.6852 0.8096
0.04587 0.6859 0.8084
0.04596 0.6846 0.8090
0.04606 0.6852 0.8097
