"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00009 0.5166 0.6713
0.00019 0.5185 0.6739
0.00028 0.5223 0.6758
0.00038 0.5254 0.6814
0.00047 0.5267 0.6802
0.00057 0.5299 0.6827
0.00066 0.5311 0.6865
0.00076 0.5305 0.6859
0.00085 0.5356 0.6859
0.00094 0.5368 0.6884
0.00104 0.5356 0.6903
0.00113 0.5368 0.6903
0.00123 0.5387 0.6909
0.00132 0.5412 0.6928
0.00142 0.5438 0.6934
0.00151 0.5412 0.6941
0.00160 0.5406 0.6960
0.00170 0.5450 0.6941
0.00179 0.5476 0.6991
0.00189 0.5444 0.6966
0.00198 0.5469 0.6991
0.00208 0.5501 0.6998
0.00217 0.5494 0.7004
0.00227 0.5501 0.7004
0.00236 0.5501 0.7010
0.00245 0.5526 0.7029
0.00255 0.5520 0.7029
0.00264 0.5545 0.7048
0.00274 0.5526 0.7029
0.00283 0.5558 0.7061
0.00293 0.5545 0.7061
0.00302 0.5583 0.7067
0.00311 0.5558 0.7061
0.00321 0.5577 0.7061
0.00330 0.5608 0.7086
0.00340 0.5564 0.7086
0.00349 0.5602 0.7092
0.00359 0.5614 0.7099
0.00368 0.5614 0.7105
0.00378 0.5596 0.7105
0.00387 0.5633 0.7111
0.00396 0.5627 0.7118
0.00406 0.5659 0.7118
0.00415 0.5646 0.7130
0.00425 0.5633 0.7137
0.00434 0.5659 0.7143
0.00444 0.5659 0.7130
0.00453 0.5671 0.7143
0.00462 0.5671 0.7149
0.00472 0.5671 0.7155
0.00481 0.5690 0.7162
0.00491 0.5690 0.7162
0.00500 0.5715 0.7162
0.00510 0.5697 0.7162
0.00519 0.5709 0.7187
0.00529 0.5709 0.7162
0.00538 0.5747 0.7187
0.00547 0.5716 0.7200
0.00557 0.5747 0.7193
0.00566 0.5728 0.7187
0.00576 0.5709 0.7187
0.00585 0.5715 0.7206
0.00595 0.5753 0.7200
0.00604 0.5760 0.7193
0.00613 0.5766 0.7212
0.00623 0.5760 0.7219
0.00632 0.5772 0.7206
0.00642 0.5785 0.7219
0.00651 0.5747 0.7212
0.00661 0.5817 0.7225
0.00670 0.5791 0.7244
0.00680 0.5804 0.7206
0.00689 0.5817 0.7231
0.00698 0.5817 0.7231
0.00708 0.5804 0.7244
0.00717 0.5772 0.7231
0.00727 0.5772 0.7231
0.00736 0.5791 0.7219
0.00746 0.5829 0.7250
0.00755 0.5817 0.7231
0.00764 0.5804 0.7257
0.00774 0.5791 0.7225
0.00783 0.5791 0.7244
0.00793 0.5817 0.7257
0.00802 0.5829 0.7238
0.00812 0.5836 0.7257
0.00821 0.5854 0.7250
0.00831 0.5810 0.7257
0.00840 0.5854 0.7263
0.00849 0.5823 0.7238
0.00859 0.5817 0.7275
0.00868 0.5861 0.7231
0.00878 0.5842 0.7275
0.00887 0.5823 0.7257
0.00897 0.5861 0.7275
0.00906 0.5829 0.7263
0.00915 0.5873 0.7263
0.00925 0.5861 0.7288
0.00934 0.5861 0.7263
0.00944 0.5848 0.7257
0.00953 0.5873 0.7275
0.00963 0.5848 0.7275
0.00972 0.5829 0.7275
0.00982 0.5880 0.7275
0.00991 0.5873 0.7275
0.01000 0.5886 0.7282
0.01010 0.5848 0.7288
0.01019 0.5836 0.7263
0.01029 0.5861 0.7301
0.01038 0.5829 0.7263
0.01048 0.5861 0.7313
0.01057 0.5836 0.7275
0.01066 0.5873 0.7294
0.01076 0.5861 0.7288
0.01085 0.5886 0.7294
0.01095 0.5861 0.7288
0.01104 0.5880 0.7313
0.01114 0.5899 0.7282
0.01123 0.5892 0.7301
0.01133 0.5880 0.7294
0.01142 0.5899 0.7313
0.01151 0.5892 0.7288
0.01161 0.5905 0.7320
0.01170 0.5861 0.7307
0.01180 0.5886 0.7288
0.01189 0.5892 0.7307
0.01199 0.5892 0.7307
0.01208 0.5899 0.7326
0.01217 0.5861 0.7320
0.01227 0.5918 0.7307
0.01236 0.5892 0.7307
0.01246 0.5937 0.7320
0.01255 0.5886 0.7313
0.01265 0.5930 0.7332
0.01274 0.5924 0.7320
0.01284 0.5930 0.7294
0.01293 0.5930 0.7332
0.01302 0.5905 0.7320
0.01312 0.5937 0.7332
0.01321 0.5905 0.7313
0.01331 0.5899 0.7320
0.01340 0.5905 0.7332
0.01350 0.5892 0.7326
0.01359 0.5905 0.7326
0.01368 0.5886 0.7339
0.01378 0.5905 0.7332
0.01387 0.5937 0.7345
0.01397 0.5899 0.7332
0.01406 0.5924 0.7339
0.01416 0.5930 0.7332
0.01425 0.5930 0.7345
0.01435 0.5962 0.7332
0.01444 0.5937 0.7339
0.01453 0.5962 0.7376
0.01463 0.5943 0.7326
0.01472 0.5949 0.7339
0.01482 0.5937 0.7358
0.01491 0.5949 0.7339
0.01501 0.5974 0.7370
0.01510 0.5943 0.7326
0.01519 0.5968 0.7358
0.01529 0.5956 0.7364
0.01538 0.5937 0.7357
0.01548 0.5987 0.7351
0.01557 0.5918 0.7351
0.01567 0.5968 0.7376
0.01576 0.5930 0.7345
0.01586 0.5974 0.7364
0.01595 0.5949 0.7377
0.01604 0.5987 0.7358
0.01614 0.5968 0.7364
0.01623 0.5962 0.7351
0.01633 0.6000 0.7358
0.01642 0.5962 0.7351
0.01652 0.5962 0.7377
0.01661 0.5949 0.7358
0.01671 0.5981 0.7377
0.01680 0.5956 0.7364
0.01689 0.5993 0.7377
0.01699 0.5937 0.7377
0.01708 0.5956 0.7351
0.01718 0.5962 0.7377
0.01727 0.5924 0.7370
0.01737 0.5974 0.7383
0.01746 0.5974 0.7389
0.01755 0.5974 0.7377
0.01765 0.5981 0.7389
0.01774 0.5974 0.7377
0.01784 0.6006 0.7389
0.01793 0.6031 0.7389
0.01803 0.5981 0.7395
0.01812 0.6019 0.7389
0.01822 0.5987 0.7389
0.01831 0.6019 0.7395
0.01840 0.5962 0.7389
0.01850 0.6006 0.7402
0.01859 0.5993 0.7395
0.01869 0.6019 0.7402
0.01878 0.6006 0.7395
0.01888 0.6050 0.7402
0.01897 0.6006 0.7389
0.01906 0.6012 0.7408
0.01916 0.6006 0.7421
0.01925 0.6038 0.7389
0.01935 0.6019 0.7408
0.01944 0.6019 0.7402
0.01954 0.6031 0.7408
0.01963 0.6006 0.7402
0.01973 0.6038 0.7421
0.01982 0.5962 0.7408
0.01991 0.6019 0.7402
0.02001 0.6006 0.7408
0.02010 0.6031 0.7408
0.02020 0.6019 0.7414
0.02029 0.6019 0.7408
0.02039 0.6069 0.7408
0.02048 0.6000 0.7414
0.02057 0.6038 0.7408
0.02067 0.6063 0.7433
0.02076 0.6044 0.7395
0.02086 0.6025 0.7421
0.02095 0.6050 0.7414
0.02105 0.6031 0.7433
0.02114 0.6050 0.7421
0.02124 0.6088 0.7433
0.02133 0.6006 0.7433
0.02142 0.6139 0.7427
0.02152 0.6019 0.7427
0.02161 0.6019 0.7421
0.02171 0.6050 0.7433
0.02180 0.6044 0.7427
0.02190 0.6038 0.7433
0.02199 0.6057 0.7433
0.02208 0.6038 0.7433
0.02218 0.6076 0.7433
0.02227 0.6038 0.7433
0.02237 0.6063 0.7446
0.02246 0.6050 0.7427
0.02256 0.6101 0.7459
0.02265 0.6050 0.7433
0.02275 0.6063 0.7440
0.02284 0.6038 0.7433
0.02293 0.6101 0.7446
0.02303 0.6063 0.7452
0.02312 0.6050 0.7427
0.02322 0.6063 0.7452
0.02331 0.6088 0.7446
0.02341 0.6069 0.7440
0.02350 0.6063 0.7459
0.02359 0.6145 0.7433
0.02369 0.6076 0.7465
0.02378 0.6139 0.7446
0.02388 0.6050 0.7452
0.02397 0.6107 0.7446
0.02407 0.6063 0.7440
0.02416 0.6063 0.7459
0.02426 0.6063 0.7452
0.02435 0.6076 0.7465
0.02444 0.6076 0.7459
0.02454 0.6063 0.7452
0.02463 0.6076 0.7459
0.02473 0.6094 0.7452
0.02482 0.6094 0.7465
0.02492 0.6101 0.7471
0.02501 0.6164 0.7465
0.02510 0.6082 0.7452
0.02520 0.6189 0.7459
0.02529 0.6063 0.7452
0.02539 0.6063 0.7459
0.02548 0.6082 0.7465
0.02558 0.6057 0.7478
0.02567 0.6170 0.7465
0.02577 0.6063 0.7478
0.02586 0.6120 0.7478
0.02595 0.6076 0.7459
0.02605 0.6107 0.7465
0.02614 0.6094 0.7478
0.02624 0.6101 0.7465
0.02633 0.6082 0.7478
0.02643 0.6101 0.7465
0.02652 0.6126 0.7490
0.02661 0.6101 0.7490
0.02671 0.6139 0.7465
0.02680 0.6107 0.7478
0.02690 0.6088 0.7465
0.02699 0.6120 0.7478
0.02709 0.6107 0.7503
0.02718 0.6120 0.7490
0.02728 0.6126 0.7484
0.02737 0.6088 0.7471
0.02746 0.6120 0.7496
0.02756 0.6076 0.7465
0.02765 0.6164 0.7515
0.02775 0.6126 0.7478
0.02784 0.6120 0.7478
0.02794 0.6132 0.7496
0.02803 0.6126 0.7478
0.02812 0.6164 0.7490
0.02822 0.6113 0.7503
0.02831 0.6139 0.7484
0.02841 0.6177 0.7490
0.02850 0.6107 0.7503
0.02860 0.6164 0.7484
0.02869 0.6107 0.7503
0.02879 0.6107 0.7490
0.02888 0.6107 0.7490
0.02897 0.6151 0.7509
0.02907 0.6214 0.7490
0.02916 0.6107 0.7496
0.02926 0.6139 0.7490
0.02935 0.6177 0.7503
0.02945 0.6132 0.7509
0.02954 0.6113 0.7490
0.02963 0.6177 0.7509
0.02973 0.6145 0.7490
0.02982 0.6164 0.7509
0.02992 0.6126 0.7503
0.03001 0.6158 0.7496
0.03011 0.6196 0.7534
0.03020 0.6139 0.7490
0.03030 0.6145 0.7490
0.03039 0.6139 0.7509
0.03048 0.6151 0.7503
0.03058 0.6120 0.7528
0.03067 0.6208 0.7503
0.03077 0.6157 0.7503
0.03086 0.6164 0.7496
0.03096 0.6164 0.7509
0.03105 0.6139 0.7515
0.03114 0.6151 0.7522
0.03124 0.6164 0.7522
0.03133 0.6189 0.7509
0.03143 0.6139 0.7516
0.03152 0.6202 0.7522
0.03162 0.6151 0.7509
0.03171 0.6183 0.7509
0.03181 0.6132 0.7528
0.03190 0.6164 0.7509
0.03199 0.6195 0.7534
0.03209 0.6164 0.7522
0.03218 0.6157 0.7509
0.03228 0.6139 0.7516
0.03237 0.6151 0.7553
0.03247 0.6158 0.7522
0.03256 0.6170 0.7503
0.03265 0.6164 0.7535
0.03275 0.6176 0.7522
0.03284 0.6151 0.7541
0.03294 0.6164 0.7522
0.03303 0.6208 0.7515
0.03313 0.6177 0.7541
0.03322 0.6208 0.7534
0.03332 0.6158 0.7535
0.03341 0.6227 0.7534
0.03350 0.6234 0.7509
0.03360 0.6164 0.7547
0.03369 0.6208 0.7534
0.03379 0.6177 0.7535
0.03388 0.6164 0.7534
0.03398 0.6177 0.7522
0.03407 0.6151 0.7534
0.03417 0.6183 0.7553
0.03426 0.6208 0.7534
0.03435 0.6177 0.7547
0.03445 0.6189 0.7522
0.03454 0.6195 0.7553
0.03464 0.6234 0.7522
0.03473 0.6227 0.7560
0.03483 0.6177 0.7535
0.03492 0.6189 0.7541
0.03501 0.6177 0.7535
0.03511 0.6183 0.7547
0.03520 0.6189 0.7547
0.03530 0.6170 0.7541
0.03539 0.6176 0.7560
0.03549 0.6303 0.7553
0.03558 0.6214 0.7534
0.03568 0.6177 0.7547
0.03577 0.6202 0.7541
0.03586 0.6227 0.7535
0.03596 0.6189 0.7572
0.03605 0.6208 0.7541
0.03615 0.6221 0.7547
0.03624 0.6240 0.7547
0.03634 0.6189 0.7541
0.03643 0.6195 0.7578
0.03652 0.6196 0.7535
0.03662 0.6233 0.7534
0.03671 0.6208 0.7566
0.03681 0.6252 0.7566
0.03690 0.6215 0.7535
0.03700 0.6195 0.7560
0.03709 0.6208 0.7578
0.03719 0.6177 0.7535
0.03728 0.6240 0.7553
0.03737 0.6278 0.7560
0.03747 0.6221 0.7566
0.03756 0.6196 0.7579
0.03766 0.6233 0.7534
0.03775 0.6208 0.7553
0.03785 0.6277 0.7578
0.03794 0.6195 0.7560
0.03803 0.6221 0.7579
0.03813 0.6233 0.7553
0.03822 0.6240 0.7579
0.03832 0.6221 0.7553
0.03841 0.6221 0.7579
0.03851 0.6221 0.7560
0.03860 0.6227 0.7566
0.03870 0.6221 0.7566
0.03879 0.6259 0.7591
0.03888 0.6265 0.7547
0.03898 0.6208 0.7578
0.03907 0.6227 0.7579
0.03917 0.6246 0.7591
0.03926 0.6183 0.7553
0.03936 0.6246 0.7566
0.03945 0.6221 0.7566
0.03954 0.6221 0.7604
0.03964 0.6265 0.7566
0.03973 0.6240 0.7579
0.03983 0.6277 0.7578
0.03992 0.6240 0.7591
0.04002 0.6252 0.7578
0.04011 0.6221 0.7566
0.04021 0.6246 0.7578
0.04030 0.6227 0.7591
0.04039 0.6259 0.7578
0.04049 0.6208 0.7604
0.04058 0.6284 0.7566
0.04068 0.6221 0.7591
0.04077 0.6246 0.7585
0.04087 0.6240 0.7578
0.04096 0.6297 0.7579
0.04105 0.6265 0.7604
0.04115 0.6246 0.7579
0.04124 0.6277 0.7591
0.04134 0.6296 0.7578
0.04143 0.6208 0.7598
0.04153 0.6290 0.7591
0.04162 0.6284 0.7579
0.04172 0.6221 0.7591
0.04181 0.6252 0.7598
0.04190 0.6233 0.7578
0.04200 0.6290 0.7604
0.04209 0.6240 0.7591
0.04219 0.6233 0.7585
0.04228 0.6252 0.7604
0.04238 0.6233 0.7591
0.04247 0.6271 0.7610
0.04256 0.6246 0.7578
0.04266 0.6328 0.7604
0.04275 0.6259 0.7597
0.04285 0.6309 0.7604
0.04294 0.6227 0.7610
0.04304 0.6303 0.7578
0.04313 0.6252 0.7591
0.04323 0.6290 0.7610
0.04332 0.6271 0.7617
0.04341 0.6290 0.7597
0.04351 0.6252 0.7604
0.04360 0.6246 0.7597
0.04370 0.6252 0.7591
0.04379 0.6265 0.7610
0.04389 0.6252 0.7623
0.04398 0.6309 0.7604
0.04407 0.6296 0.7591
0.04417 0.6265 0.7598
0.04426 0.6379 0.7623
0.04436 0.6252 0.7579
0.04445 0.6290 0.7635
0.04455 0.6252 0.7604
0.04464 0.6265 0.7623
0.04474 0.6252 0.7604
0.04483 0.6303 0.7610
0.04492 0.6322 0.7623
0.04502 0.6271 0.7604
0.04511 0.6265 0.7623
0.04521 0.6290 0.7610
0.04530 0.6341 0.7604
0.04540 0.6278 0.7623
0.04549 0.6277 0.7623
0.04558 0.6290 0.7610
0.04568 0.6252 0.7623
0.04577 0.6284 0.7616
0.04587 0.6290 0.7629
0.04596 0.6277 0.7616
0.04606 0.6284 0.7610
0.04615 0.6303 0.7623
0.04625 0.6265 0.7617
0.04634 0.6284 0.7642
0.04643 0.6277 0.7623
0.04653 0.6379 0.7623
0.04662 0.6265 0.7616
0.04672 0.6284 0.7636
0.04681 0.6290 0.7623
0.04691 0.6328 0.7636
0.04700 0.6360 0.7623
0.04709 0.6284 0.7623
0.04719 0.6290 0.7635
0.04728 0.6284 0.7635
0.04738 0.6278 0.7610
0.04747 0.6296 0.7635
0.04757 0.6290 0.7648
0.04766 0.6296 0.7623
0.04776 0.6322 0.7623
0.04785 0.6277 0.7623
0.04794 0.6335 0.7655
0.04804 0.6271 0.7623
0.04813 0.6277 0.7635
0.04823 0.6265 0.7636
0.04832 0.6303 0.7635
0.04842 0.6297 0.7636
0.04851 0.6341 0.7648
0.04860 0.6360 0.7636
0.04870 0.6309 0.7629
0.04879 0.6309 0.7635
0.04889 0.6297 0.7648
0.04898 0.6296 0.7648
0.04908 0.6303 0.7636
0.04917 0.6296 0.7642
0.04927 0.6297 0.7636
0.04936 0.6315 0.7635
0.04945 0.6271 0.7648
0.04955 0.6322 0.7642
0.04964 0.6322 0.7635
0.04974 0.6278 0.7661
0.04983 0.6296 0.7642
0.04993 0.6322 0.7636
0.05002 0.6290 0.7661
0.05012 0.6309 0.7636
0.05021 0.6309 0.7642
0.05030 0.6322 0.7648
0.05040 0.6296 0.7648
0.05049 0.6296 0.7654
0.05059 0.6335 0.7648
0.05068 0.6309 0.7654
0.05078 0.6322 0.7648
0.05087 0.6296 0.7642
0.05096 0.6360 0.7661
0.05106 0.6296 0.7648
0.05115 0.6322 0.7642
0.05125 0.6366 0.7661
0.05134 0.6334 0.7667
0.05144 0.6309 0.7636
0.05153 0.6322 0.7642
0.05163 0.6309 0.7680
0.05172 0.6296 0.7661
0.05181 0.6398 0.7648
0.05191 0.6360 0.7654
0.05200 0.6429 0.7655
0.05210 0.6309 0.7661
0.05219 0.6423 0.7654
0.05229 0.6347 0.7673
0.05238 0.6341 0.7654
0.05247 0.6391 0.7680
0.05257 0.6410 0.7648
0.05266 0.6328 0.7655
0.05276 0.6347 0.7679
0.05285 0.6341 0.7667
0.05295 0.6322 0.7661
0.05304 0.6334 0.7667
0.05314 0.6366 0.7648
0.05323 0.6379 0.7667
0.05332 0.6354 0.7692
0.05342 0.6353 0.7642
0.05351 0.6354 0.7661
0.05361 0.6303 0.7692
0.05370 0.6309 0.7642
0.05380 0.6353 0.7679
0.05389 0.6322 0.7667
0.05398 0.6341 0.7673
0.05408 0.6423 0.7679
0.05417 0.6335 0.7655
0.05427 0.6366 0.7692
0.05436 0.6436 0.7655
0.05446 0.6397 0.7673
0.05455 0.6442 0.7686
0.05465 0.6309 0.7673
0.05474 0.6391 0.7667
0.05483 0.6391 0.7680
0.05493 0.6385 0.7667
0.05502 0.6335 0.7667
0.05512 0.6366 0.7679
0.05521 0.6341 0.7667
0.05531 0.6391 0.7705
0.05540 0.6341 0.7655
0.05549 0.6347 0.7679
0.05559 0.6353 0.7692
0.05568 0.6385 0.7661
0.05578 0.6315 0.7686
0.05587 0.6372 0.7673
0.05597 0.6404 0.7686
0.05606 0.6341 0.7692
0.05616 0.6391 0.7667
0.05625 0.6366 0.7692
0.05634 0.6366 0.7692
0.05644 0.6372 0.7667
0.05653 0.6391 0.7692
0.05663 0.6353 0.7679
0.05672 0.6366 0.7692
0.05682 0.6366 0.7692
0.05691 0.6347 0.7686
0.05700 0.6385 0.7679
0.05710 0.6347 0.7705
0.05719 0.6341 0.7667
0.05729 0.6353 0.7679
0.05738 0.6366 0.7711
0.05748 0.6410 0.7673
0.05757 0.6366 0.7680
0.05767 0.6347 0.7698
0.05776 0.6366 0.7692
0.05785 0.6435 0.7679
